月,No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
4,11,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-16,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-16,2022-04-16T13:20:00.000+9,2022-04-16T15:20:00.000+9,2022-04-16T00:00:00.000+9,2022-04-16T00:00:00.000+9
4,12,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-23,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-23,2022-04-23T13:20:00.000+9,2022-04-23T15:20:00.000+9,2022-04-23T00:00:00.000+9,2022-04-23T00:00:00.000+9
4,13,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-30,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-30,2022-04-30T13:20:00.000+9,2022-04-30T15:20:00.000+9,2022-04-30T00:00:00.000+9,2022-04-30T00:00:00.000+9
4,14,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-03,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-03,2022-04-03T09:50:00.000+9,2022-04-03T11:50:00.000+9,2022-04-03T00:00:00.000+9,2022-04-03T00:00:00.000+9
4,15,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-10,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-10,2022-04-10T09:50:00.000+9,2022-04-10T11:50:00.000+9,2022-04-10T00:00:00.000+9,2022-04-10T00:00:00.000+9
4,16,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-17,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-17,2022-04-17T09:50:00.000+9,2022-04-17T11:50:00.000+9,2022-04-17T00:00:00.000+9,2022-04-17T00:00:00.000+9
4,17,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-24,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-24,2022-04-24T09:50:00.000+9,2022-04-24T11:50:00.000+9,2022-04-24T00:00:00.000+9,2022-04-24T00:00:00.000+9
4,18,4/2～4/30_東生涯学習センター（モデルナ）,TRUE,2022-04-02,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_東生涯学習センター（モデルナ）/2022-04-02,2022-04-02T13:20:00.000+9,2022-04-02T15:20:00.000+9,2022-04-02T00:00:00.000+9,2022-04-02T00:00:00.000+9
4,19,4/2～4/30_東生涯学習センター（モデルナ）,TRUE,2022-04-09,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_東生涯学習センター（モデルナ）/2022-04-09,2022-04-09T13:20:00.000+9,2022-04-09T15:20:00.000+9,2022-04-09T00:00:00.000+9,2022-04-09T00:00:00.000+9
4,20,4/2～4/30_東生涯学習センター（モデルナ）,TRUE,2022-04-16,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_東生涯学習センター（モデルナ）/2022-04-16,2022-04-16T13:20:00.000+9,2022-04-16T15:20:00.000+9,2022-04-16T00:00:00.000+9,2022-04-16T00:00:00.000+9
4,21,4/2～4/30_東生涯学習センター（モデルナ）,TRUE,2022-04-23,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_東生涯学習センター（モデルナ）/2022-04-23,2022-04-23T13:20:00.000+9,2022-04-23T15:20:00.000+9,2022-04-23T00:00:00.000+9,2022-04-23T00:00:00.000+9
4,22,4/2～4/30_東生涯学習センター（モデルナ）,TRUE,2022-04-30,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_東生涯学習センター（モデルナ）/2022-04-30,2022-04-30T13:20:00.000+9,2022-04-30T15:20:00.000+9,2022-04-30T00:00:00.000+9,2022-04-30T00:00:00.000+9
4,23,4/2～4/30_東生涯学習センター（モデルナ）,TRUE,2022-04-03,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_東生涯学習センター（モデルナ）/2022-04-03,2022-04-03T09:50:00.000+9,2022-04-03T11:50:00.000+9,2022-04-03T00:00:00.000+9,2022-04-03T00:00:00.000+9
4,24,4/2～4/30_東生涯学習センター（モデルナ）,TRUE,2022-04-10,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_東生涯学習センター（モデルナ）/2022-04-10,2022-04-10T09:50:00.000+9,2022-04-10T11:50:00.000+9,2022-04-10T00:00:00.000+9,2022-04-10T00:00:00.000+9
4,25,4/2～4/30_東生涯学習センター（モデルナ）,TRUE,2022-04-17,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_東生涯学習センター（モデルナ）/2022-04-17,2022-04-17T09:50:00.000+9,2022-04-17T11:50:00.000+9,2022-04-17T00:00:00.000+9,2022-04-17T00:00:00.000+9
4,26,4/2～4/30_東生涯学習センター（モデルナ）,TRUE,2022-04-24,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_東生涯学習センター（モデルナ）/2022-04-24,2022-04-24T09:50:00.000+9,2022-04-24T11:50:00.000+9,2022-04-24T00:00:00.000+9,2022-04-24T00:00:00.000+9
4,27,4/2～4/30_西南生涯学習センター（モデルナ）,TRUE,2022-04-02,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_西南生涯学習センター（モデルナ）/2022-04-02,2022-04-02T13:20:00.000+9,2022-04-02T15:20:00.000+9,2022-04-02T00:00:00.000+9,2022-04-02T00:00:00.000+9
4,28,4/2～4/30_西南生涯学習センター（モデルナ）,TRUE,2022-04-09,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_西南生涯学習センター（モデルナ）/2022-04-09,2022-04-09T13:20:00.000+9,2022-04-09T15:20:00.000+9,2022-04-09T00:00:00.000+9,2022-04-09T00:00:00.000+9
4,29,4/2～4/30_西南生涯学習センター（モデルナ）,TRUE,2022-04-16,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_西南生涯学習センター（モデルナ）/2022-04-16,2022-04-16T13:20:00.000+9,2022-04-16T15:20:00.000+9,2022-04-16T00:00:00.000+9,2022-04-16T00:00:00.000+9
4,30,4/2～4/30_西南生涯学習センター（モデルナ）,TRUE,2022-04-23,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_西南生涯学習センター（モデルナ）/2022-04-23,2022-04-23T13:20:00.000+9,2022-04-23T15:20:00.000+9,2022-04-23T00:00:00.000+9,2022-04-23T00:00:00.000+9
4,31,4/2～4/30_西南生涯学習センター（モデルナ）,TRUE,2022-04-30,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_西南生涯学習センター（モデルナ）/2022-04-30,2022-04-30T13:20:00.000+9,2022-04-30T15:20:00.000+9,2022-04-30T00:00:00.000+9,2022-04-30T00:00:00.000+9
4,32,4/2～4/30_西南生涯学習センター（モデルナ）,TRUE,2022-04-03,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_西南生涯学習センター（モデルナ）/2022-04-03,2022-04-03T09:50:00.000+9,2022-04-03T11:50:00.000+9,2022-04-03T00:00:00.000+9,2022-04-03T00:00:00.000+9
4,33,4/2～4/30_西南生涯学習センター（モデルナ）,TRUE,2022-04-10,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_西南生涯学習センター（モデルナ）/2022-04-10,2022-04-10T09:50:00.000+9,2022-04-10T11:50:00.000+9,2022-04-10T00:00:00.000+9,2022-04-10T00:00:00.000+9
4,34,4/2～4/30_西南生涯学習センター（モデルナ）,TRUE,2022-04-17,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_西南生涯学習センター（モデルナ）/2022-04-17,2022-04-17T09:50:00.000+9,2022-04-17T11:50:00.000+9,2022-04-17T00:00:00.000+9,2022-04-17T00:00:00.000+9
4,35,4/2～4/30_西南生涯学習センター（モデルナ）,TRUE,2022-04-24,9:50,11:50,,,10,10,1,120,3,4,4/2～4/30_西南生涯学習センター（モデルナ）/2022-04-24,2022-04-24T09:50:00.000+9,2022-04-24T11:50:00.000+9,2022-04-24T00:00:00.000+9,2022-04-24T00:00:00.000+9
4,36,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-03-26,13:20,13:30,13:20,13:30,10,0,0,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-03-26,2022-03-26T13:20:00.000+9,2022-03-26T13:30:00.000+9,2022-03-26T13:20:00.000+9,2022-03-26T13:30:00.000+9
4,37,4/2～4/30_東生涯学習センター（モデルナ）,TRUE,2022-03-26,13:20,13:30,13:20,13:30,10,0,0,120,3,4,4/2～4/30_東生涯学習センター（モデルナ）/2022-03-26,2022-03-26T13:20:00.000+9,2022-03-26T13:30:00.000+9,2022-03-26T13:20:00.000+9,2022-03-26T13:30:00.000+9
4,38,4/2～4/30_西南生涯学習センター（モデルナ）,TRUE,2022-03-26,13:20,13:30,13:20,13:30,10,0,0,120,3,4,4/2～4/30_西南生涯学習センター（モデルナ）/2022-03-26,2022-03-26T13:20:00.000+9,2022-03-26T13:30:00.000+9,2022-03-26T13:20:00.000+9,2022-03-26T13:30:00.000+9
4,39,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-01,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-01,2022-04-01T14:00:00.000+9,2022-04-01T15:30:00.000+9,2022-04-01T00:00:00.000+9,2022-04-01T00:00:00.000+9
4,40,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-05,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-05,2022-04-05T14:00:00.000+9,2022-04-05T15:30:00.000+9,2022-04-05T00:00:00.000+9,2022-04-05T00:00:00.000+9
4,41,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-06,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-06,2022-04-06T14:00:00.000+9,2022-04-06T15:30:00.000+9,2022-04-06T00:00:00.000+9,2022-04-06T00:00:00.000+9
4,42,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-08,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-08,2022-04-08T14:00:00.000+9,2022-04-08T15:30:00.000+9,2022-04-08T00:00:00.000+9,2022-04-08T00:00:00.000+9
4,43,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-12,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-12,2022-04-12T14:00:00.000+9,2022-04-12T15:30:00.000+9,2022-04-12T00:00:00.000+9,2022-04-12T00:00:00.000+9
4,44,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-13,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-13,2022-04-13T14:00:00.000+9,2022-04-13T15:30:00.000+9,2022-04-13T00:00:00.000+9,2022-04-13T00:00:00.000+9
4,45,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-15,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-15,2022-04-15T14:00:00.000+9,2022-04-15T15:30:00.000+9,2022-04-15T00:00:00.000+9,2022-04-15T00:00:00.000+9
4,46,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-19,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-19,2022-04-19T14:00:00.000+9,2022-04-19T15:30:00.000+9,2022-04-19T00:00:00.000+9,2022-04-19T00:00:00.000+9
4,47,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-20,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-20,2022-04-20T14:00:00.000+9,2022-04-20T15:30:00.000+9,2022-04-20T00:00:00.000+9,2022-04-20T00:00:00.000+9
4,48,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-22,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-22,2022-04-22T14:00:00.000+9,2022-04-22T15:30:00.000+9,2022-04-22T00:00:00.000+9,2022-04-22T00:00:00.000+9
4,49,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-26,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-26,2022-04-26T14:00:00.000+9,2022-04-26T15:30:00.000+9,2022-04-26T00:00:00.000+9,2022-04-26T00:00:00.000+9
4,50,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-04-27,14:00,15:30,,,30,20,2,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-04-27,2022-04-27T14:00:00.000+9,2022-04-27T15:30:00.000+9,2022-04-27T00:00:00.000+9,2022-04-27T00:00:00.000+9
4,51,巽今宮病院_4/1～4/27（モデルナ）,TRUE,2022-03-25,15:00,15:30,15:00,15:30,30,0,0,120,3,4,巽今宮病院_4/1～4/27（モデルナ）/2022-03-25,2022-03-25T15:00:00.000+9,2022-03-25T15:30:00.000+9,2022-03-25T15:00:00.000+9,2022-03-25T15:30:00.000+9
