No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
61,7/01～7/11_東生涯学習センター,TRUE,2021-06-17,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/01～7/11_東生涯学習センター/2021-06-17,2021-06-17T13:20:00.000+9,2021-06-17T13:30:00.000+9,2021-06-17T13:20:00.000+9,2021-06-17T13:30:00.000+9
61,7/01～7/11_東生涯学習センター,TRUE,2021-06-24,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/01～7/11_東生涯学習センター/2021-06-24,2021-06-24T13:20:00.000+9,2021-06-24T13:30:00.000+9,2021-06-24T13:20:00.000+9,2021-06-24T13:30:00.000+9
61,7/01～7/11_西南生涯学習センター,TRUE,2021-05-20,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/01～7/11_西南生涯学習センター/2021-05-20,2021-05-20T13:20:00.000+9,2021-05-20T13:30:00.000+9,2021-05-20T13:20:00.000+9,2021-05-20T13:30:00.000+9
61,7/01～7/11_西南生涯学習センター,TRUE,2021-05-27,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/01～7/11_西南生涯学習センター/2021-05-27,2021-05-27T13:20:00.000+9,2021-05-27T13:30:00.000+9,2021-05-27T13:20:00.000+9,2021-05-27T13:30:00.000+9
61,7/01～7/11_西南生涯学習センター,TRUE,2021-06-03,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/01～7/11_西南生涯学習センター/2021-06-03,2021-06-03T13:20:00.000+9,2021-06-03T13:30:00.000+9,2021-06-03T13:20:00.000+9,2021-06-03T13:30:00.000+9
61,7/01～7/11_西南生涯学習センター,TRUE,2021-06-10,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/01～7/11_西南生涯学習センター/2021-06-10,2021-06-10T13:20:00.000+9,2021-06-10T13:30:00.000+9,2021-06-10T13:20:00.000+9,2021-06-10T13:30:00.000+9
61,7/01～7/11_西南生涯学習センター,TRUE,2021-06-17,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/01～7/11_西南生涯学習センター/2021-06-17,2021-06-17T13:20:00.000+9,2021-06-17T13:30:00.000+9,2021-06-17T13:20:00.000+9,2021-06-17T13:30:00.000+9
61,7/01～7/11_西南生涯学習センター,TRUE,2021-06-24,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/01～7/11_西南生涯学習センター/2021-06-24,2021-06-24T13:20:00.000+9,2021-06-24T13:30:00.000+9,2021-06-24T13:20:00.000+9,2021-06-24T13:30:00.000+9
61,7/14～8/01_総合保健福祉センター,TRUE,2021-05-19,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-05-19,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9
61,7/14～8/01_総合保健福祉センター,TRUE,2021-05-26,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-05-26,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9
61,7/14～8/01_総合保健福祉センター,TRUE,2021-06-02,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-06-02,2021-06-02T13:20:00.000+9,2021-06-02T13:30:00.000+9,2021-06-02T13:20:00.000+9,2021-06-02T13:30:00.000+9
61,7/14～8/01_総合保健福祉センター,TRUE,2021-06-09,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9
61,7/14～8/01_総合保健福祉センター,TRUE,2021-06-16,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9
61,7/14～8/01_総合保健福祉センター,TRUE,2021-06-23,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-06-23,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9
61,7/14～8/01_総合保健福祉センター,TRUE,2021-06-30,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-06-30,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9
61,7/14～8/01_総合保健福祉センター,TRUE,2021-07-07,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-07-07,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9
61,7/14～8/01_東生涯学習センター,TRUE,2021-05-19,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター/2021-05-19,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9
61,7/14～8/01_東生涯学習センター,TRUE,2021-05-26,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター/2021-05-26,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9
61,7/14～8/01_東生涯学習センター,TRUE,2021-06-02,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター/2021-06-02,2021-06-02T13:20:00.000+9,2021-06-02T13:30:00.000+9,2021-06-02T13:20:00.000+9,2021-06-02T13:30:00.000+9
61,7/14～8/01_東生涯学習センター,TRUE,2021-06-09,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9
61,7/14～8/01_東生涯学習センター,TRUE,2021-06-16,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9
61,7/14～8/01_東生涯学習センター,TRUE,2021-06-23,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター/2021-06-23,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9
61,7/14～8/01_東生涯学習センター,TRUE,2021-06-30,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター/2021-06-30,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9
61,7/14～8/01_東生涯学習センター,TRUE,2021-07-07,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター/2021-07-07,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9
61,7/14～8/01_西南生涯学習センター,TRUE,2021-05-19,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター/2021-05-19,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9
61,7/14～8/01_西南生涯学習センター,TRUE,2021-05-26,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター/2021-05-26,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9
61,7/14～8/01_西南生涯学習センター,TRUE,2021-06-02,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター/2021-06-02,2021-06-02T13:20:00.000+9,2021-06-02T13:30:00.000+9,2021-06-02T13:20:00.000+9,2021-06-02T13:30:00.000+9
61,7/14～8/01_西南生涯学習センター,TRUE,2021-06-09,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9
61,7/14～8/01_西南生涯学習センター,TRUE,2021-06-16,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9
61,7/14～8/01_西南生涯学習センター,TRUE,2021-06-23,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター/2021-06-23,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9
61,7/14～8/01_西南生涯学習センター,TRUE,2021-06-30,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター/2021-06-30,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9
61,7/14～8/01_西南生涯学習センター,TRUE,2021-07-07,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター/2021-07-07,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9
